"","taxon","freq","prev","p.freq","p.prev","p","not.contaminant","phylum","class","order","family","genus","species","in.homd","in.core.hominid","in.contam.list","taxon_category","threshold"
"40","2768069",0.000244546887697436,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces xanthii",FALSE,FALSE,FALSE,"None",0.05
"41","1725411",2.20043237282284e-05,28,NA,0.294117647058824,0.294117647058824,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces sp. CdTB01",FALSE,FALSE,FALSE,"None",0.05
"42","1969",0.0233588282311089,67,NA,0.00735294117647056,0.00735294117647056,TRUE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces chartreusis",FALSE,FALSE,FALSE,"None",0.05
"43","29303",0.000965835667731499,63,NA,0.0367647058823529,0.0367647058823529,TRUE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptantibioticus","Streptantibioticus cattleyicolor",FALSE,FALSE,FALSE,"None",0.05
"44","68203",0.000802929686952961,62,NA,0.0441176470588235,0.0441176470588235,TRUE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces fungicidicus",FALSE,FALSE,FALSE,"None",0.05
"45","1914",0.000350633592130337,59,NA,0.0661764705882353,0.0661764705882353,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces lavendulae",FALSE,FALSE,FALSE,"None",0.05
"46","2184053",0.000208751043411628,53,NA,0.110294117647059,0.110294117647059,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces cadmiisoli",FALSE,FALSE,FALSE,"None",0.05
"47","1901",0.000446743892741132,59,NA,0.0661764705882353,0.0661764705882353,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces clavuligerus",FALSE,FALSE,FALSE,"None",0.05
"48","68223",0.000230032283887903,59,NA,0.0661764705882353,0.0661764705882353,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces katrae",FALSE,FALSE,FALSE,"None",0.05
"49","362257",8.63030677483347e-05,49,NA,0.139705882352941,0.139705882352941,FALSE,"Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces vietnamensis",FALSE,FALSE,FALSE,"None",0.05
"50","37921",0.019179926597647,67,NA,0.507352941176471,0.507352941176471,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter agilis",FALSE,FALSE,TRUE,"In contam list",0.05
"51","1704044",0.00336509594194733,65,NA,0.0220588235294118,0.0220588235294118,TRUE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. ERGS1:01",FALSE,FALSE,TRUE,"In contam list",0.05
"52","1849032",0.000526025554600229,61,NA,0.0514705882352942,0.0514705882352942,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. U41",FALSE,FALSE,TRUE,"In contam list",0.05
"53","415095",6.32863304084011e-05,45,NA,0.169117647058824,0.169117647058824,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. AK-1",FALSE,FALSE,TRUE,"In contam list",0.05
"54","1667",2.68735582616726e-05,32,NA,0.264705882352941,0.264705882352941,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp.",FALSE,FALSE,TRUE,"In contam list",0.05
"55","1118963",4.77770243192582e-05,46,NA,0.161764705882353,0.161764705882353,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. Rue61a",FALSE,FALSE,TRUE,"In contam list",0.05
"56","1477518",0.000361398966767785,47,NA,0.154411764705882,0.154411764705882,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. D5-1",FALSE,FALSE,TRUE,"In contam list",0.05
"57","2774874",0.000325728016317013,44,NA,0.176470588235294,0.176470588235294,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. TES",FALSE,FALSE,TRUE,"In contam list",0.05
"58","37928",0.000803593718395544,55,NA,0.0955882352941176,0.0955882352941176,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter crystallopoietes",FALSE,FALSE,TRUE,"In contam list",0.05
"59","2772401",0.000198058075867983,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter sp. BIM B-2242",FALSE,FALSE,FALSE,"None",0.05
"60","2590785",4.45514578394571e-05,40,NA,0.205882352941176,0.205882352941176,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter sp. NIBRBAC000502770",FALSE,FALSE,FALSE,"None",0.05
"61","2697569",0.000211702728576562,53,NA,0.110294117647059,0.110294117647059,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter psychrotolerans",FALSE,FALSE,FALSE,"None",0.05
"62","85085",0.000298179572898322,58,NA,0.0735294117647058,0.0735294117647058,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter chlorophenolicus",FALSE,FALSE,FALSE,"None",0.05
"63","121292",0.00493164992557635,54,NA,0.102941176470588,0.102941176470588,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter sulfonivorans",FALSE,FALSE,FALSE,"None",0.05
"64","37931",0.000912908272251453,52,NA,0.117647058823529,0.117647058823529,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Paenarthrobacter","Paenarthrobacter ureafaciens",FALSE,FALSE,FALSE,"None",0.05
"65","2735316",0.000705848345856661,60,NA,0.0588235294117647,0.0588235294117647,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Paenarthrobacter","Paenarthrobacter sp. YJN-5",FALSE,FALSE,FALSE,"None",0.05
"66","43663",0.000243960544237907,51,NA,0.125,0.125,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Paenarthrobacter","Paenarthrobacter aurescens",FALSE,FALSE,FALSE,"None",0.05
"67","446860",0.000536382886639951,57,NA,0.0808823529411764,0.0808823529411764,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Kocuria","Kocuria flava",FALSE,FALSE,TRUE,"In contam list",0.05
"68","388357",0.000140642474649639,51,NA,0.125,0.125,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Kocuria","Kocuria turfanensis",FALSE,FALSE,TRUE,"In contam list",0.05
"69","404582",4.37476274227818e-05,32,NA,0.264705882352941,0.264705882352941,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus sp. V7",FALSE,FALSE,TRUE,"In contam list",0.05
"70","2861280",0.0206664819681685,67,NA,0.00735294117647056,0.00735294117647056,TRUE,"Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. PAMC21962",FALSE,FALSE,TRUE,"In contam list",0.05
"71","84292",0.000138152544624342,50,NA,0.132352941176471,0.132352941176471,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium chocolatum",FALSE,FALSE,TRUE,"In contam list",0.05
"72","1619308",0.000146024912877939,54,NA,0.102941176470588,0.102941176470588,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Cnuibacter","Cnuibacter physcomitrellae",FALSE,FALSE,FALSE,"None",0.05
"73","28447",0.000179675878242612,52,NA,0.117647058823529,0.117647058823529,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Clavibacter","Clavibacter michiganensis",FALSE,FALSE,FALSE,"None",0.05
"74","2609253",0.00023392179867015,59,NA,0.0661764705882353,0.0661764705882353,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Rathayibacter","Rathayibacter sp. VKM Ac-2760",FALSE,FALSE,FALSE,"None",0.05
"75","1710",0.000324127524994416,55,NA,0.0955882352941176,0.0955882352941176,FALSE,"Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae","Cellulosimicrobium","Cellulosimicrobium cellulans",FALSE,FALSE,FALSE,"None",0.05
"76","1680",0.0128131791691598,67,NA,0.00735294117647056,0.00735294117647056,TRUE,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis",FALSE,FALSE,FALSE,"None",0.05
"77","240495",0.00200356368507325,58,NA,0.0735294117647058,0.0735294117647058,FALSE,"Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia dioxanivorans",FALSE,FALSE,FALSE,"None",0.05
"78","2081702",0.000189397154764057,54,NA,0.102941176470588,0.102941176470588,FALSE,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 897",TRUE,TRUE,TRUE,"In both",0.05
"79","544580",0.000703361163611196,19,NA,0.360294117647059,0.360294117647059,FALSE,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces oris",TRUE,TRUE,TRUE,"In both",0.05
"80","1747",0.000839166102544628,57,NA,0.0808823529411764,0.0808823529411764,FALSE,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",TRUE,FALSE,FALSE,"In oral list",0.05
"81","2559073",0.00141731116177603,56,NA,0.0882352941176471,0.0882352941176471,FALSE,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium modestum",TRUE,FALSE,FALSE,"In oral list",0.05
"82","1608957",0.000183628182409945,57,NA,0.0808823529411764,0.0808823529411764,FALSE,"Actinomycetota","Nitriliruptoria","Euzebyales","Euzebyaceae","Euzebya","Euzebya pacifica",FALSE,FALSE,FALSE,"None",0.05
"83","74426",0.000153440281504656,42,NA,0.191176470588235,0.191176470588235,FALSE,"Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens",FALSE,FALSE,FALSE,"None",0.05
"84","2843216",0.0002561435323685,55,NA,0.0955882352941176,0.0955882352941176,FALSE,"Actinomycetota","Thermoleophilia","Miltoncostaeales","Miltoncostaeaceae","Miltoncostaea","Miltoncostaea oceani",FALSE,FALSE,FALSE,"None",0.05
"85","1302",0.144508351742971,67,NA,0.00735294117647056,0.00735294117647056,TRUE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gordonii",TRUE,TRUE,TRUE,"In both",0.05
"86","1314",0.00492880532066515,62,NA,0.0441176470588235,0.0441176470588235,TRUE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pyogenes",TRUE,TRUE,TRUE,"In both",0.05
"87","1311",0.00364686794710554,62,NA,0.0441176470588235,0.0441176470588235,TRUE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",TRUE,TRUE,TRUE,"In both",0.05
"88","1839799",0.00333999537639747,60,NA,0.0588235294117647,0.0588235294117647,FALSE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. FDAARGOS_192",TRUE,TRUE,TRUE,"In both",0.05
"89","1304",0.00591815491374702,64,NA,0.0294117647058824,0.0294117647058824,TRUE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius",TRUE,TRUE,TRUE,"In both",0.05
"90","1303",0.00574035345354737,61,NA,0.0514705882352942,0.0514705882352942,FALSE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis",TRUE,TRUE,TRUE,"In both",0.05
"91","1335",0.00163419143278262,50,NA,0.132352941176471,0.132352941176471,FALSE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus equinus",TRUE,TRUE,TRUE,"In both",0.05
"92","1366",0.000488309579838845,43,NA,0.183823529411765,0.183823529411765,FALSE,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus raffinolactis",TRUE,FALSE,TRUE,"In both",0.05
"93","1624",0.000715900352879311,61,NA,0.0514705882352942,0.0514705882352942,FALSE,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus salivarius",TRUE,FALSE,FALSE,"In oral list",0.05
"94","1255",0.00100382258752018,59,NA,0.0661764705882353,0.0661764705882353,FALSE,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus pentosaceus",FALSE,FALSE,FALSE,"None",0.05
"95","1580",0.000177969899887045,48,NA,0.147058823529412,0.147058823529412,FALSE,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Levilactobacillus brevis",FALSE,FALSE,FALSE,"None",0.05
"96","155866",1.08989082208521e-05,23,NA,0.330882352941177,0.330882352941177,FALSE,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella soli",FALSE,FALSE,FALSE,"None",0.05
"97","1352",0.00453214635423185,63,NA,0.0367647058823529,0.0367647058823529,TRUE,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",FALSE,FALSE,TRUE,"In contam list",0.05
