"SRX3830154_oral"	"SRX4318863_oral"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_oral"	"SRX024200_oral"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_oral"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_oral"	"SRX740562_human_skin"	"SRX025192_oral"	"SRX3830126_oral"	"SRX740632_human_skin"	"SRX025193_oral"	"SRX101411_oral"	"SRX3830225_oral"	"SRX4318858_oral"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_4_H33_NA"	0.140866589252836	2.55226294862753e-64	1.80979407128881e-122	0	0.137370393608691	0	4.12968065442373e-64	0.00171844706696008	0	8.18977118710592e-176	1.43242997403561e-46	2.02029012134342e-59	2.66009548636631e-163	4.61487443418363e-117	9.98126236613492e-12	1.62355592396111e-36	3.25790932949656e-09	0.043870616269124	0.184935822460475	3.72906356356511e-47	0.246361991387549	2.71211734496791e-18	0.112206301329605	2.04064005731818e-72	7.19413490179924e-194	6.01738318009825e-77	0.0389198353568695	4.74792140052464e-27	5.06508138307792e-81	0.09375
"RDC_4_H32_NA"	0.000272383323833599	7.62886411840796e-242	0	0	0	0	1.6645086160654e-142	1.62871712556315e-126	0	1.58492638565226e-291	0	0	0	0.031746008785246	0	0.203513669651107	0	0	0.310448099211163	0	0.136639685097614	6.21467250015397e-231	5.44099767829508e-300	8.60486505403152e-91	3.44593365872114e-181	0.0986301539310361	8.10011739736475e-180	0	3.36980155507483e-144	0.21875
"RDC_1_S2_NA"	0.0954999765193925	4.09136783055456e-164	0.0282175453217967	4.8598719255377e-116	0.0484550036400444	1.30281655656313e-16	1.02332667340884e-119	0	0	0.0782145610142439	0.032258064516129	0.083014768631138	3.4395954841552e-09	1.42650583764457e-70	3.61056904730449e-06	7.73770183154353e-128	0.0456640205790075	3.80057473531549e-198	0.103331311788078	0	2.61517421174741e-23	0.06598629527127	0	4.97592364213761e-72	1.65504628202467e-198	5.79709242874794e-13	4.89591519985915e-62	3.23755854306613e-87	2.65688984922399e-17	0.419354838709677
"RDC_5_EB9_NA"	1.91722323176057e-06	9.5317140815695e-11	2.06350572030491e-26	0	7.44447409080925e-06	0	8.69008380747568e-05	6.22952846759882e-06	0	0.063720517503684	5.24107725456805e-19	0.0806121977877426	2.70695970981505e-07	6.65876182588916e-08	0.175863002877827	1.93968923137549e-27	0.25273306227416	0.00592517084130055	1.94472410944703e-06	1.24300415530404e-12	1.93653514418849e-05	0.0943280584101628	4.41009773207597e-26	3.05313130747376e-12	5.3215985491022e-11	1.20556161316905e-10	0.142817940291191	0.00530400424886468	4.77497247492345e-07	0.178571428571429
"RDC_6_H65_NA"	1.10722026723051e-05	4.52669330917869e-25	0.0368410320018149	0	0.0755725546960599	3.19936610482097e-43	0.0882033893614544	0.000149214381940678	4.43360068074602e-06	2.25086897120484e-29	1.64661510130047e-15	1.46965351110415e-18	0.147150271627301	7.01494067021231e-25	1.00170449971554e-13	3.23900390257485e-22	0.0205003703126918	0.0717562294686876	0.0390588611875042	0.000124762217428137	8.58047118774842e-10	0.227938733724481	0.00395923659002354	1.67689358891707e-56	9.3572801747425e-18	1.59794526766797e-05	0.110142429734513	7.97924578978454e-34	1.04920568791102e-11	0.178571428571429
"RDC_2_H5_NA"	0.0476778254935503	0.150986288446938	0	0	0.000193110064304188	0	4.41980556770913e-09	0.114210168599785	2.51673507535448e-16	3.7255396997648e-06	0.0420903610242317	0.0113377862492701	9.70088974444738e-06	0.0155465162183991	0.0563684216004014	1.15739371722191e-05	1.97072992868785e-05	0.00116095284309751	0.127179405017939	0.000894854881869879	0.134207455093596	0.0302788175963461	7.58367948433251e-06	0.000119659283089195	7.16492010420719e-21	0.000188631970767554	0.111257449647512	2.03709776911004e-10	0	0.15625
"RDC_4_H41_NA"	5.07058141874587e-06	1.99486102481172e-15	0	3.35668880930065e-75	0.0281985290178964	0	1.34212613643558e-07	0.0167348217768429	0	0.0548722756369558	0.113083652169492	1.97918660624779e-32	0.121974483182983	7.09869784816584e-22	1.82642860592549e-11	3.60655016835084e-13	0.0549202791908275	0.106179260811611	7.56562020504875e-11	4.94516131496529e-26	5.64554553359175e-06	0.151161127583354	0.154801843503525	0.0102900225067769	1.26835170473973e-67	0.0877728541849282	2.59878526844867e-15	2.89944504229084e-17	9.56476859589164e-13	0.1
"RDC_5_H58_NA"	0.113441901821945	4.67975497199318e-48	0	6.36474698462231e-47	3.81126062811678e-16	0	0.0632243450779086	0.0862748146264103	0	2.82787206119504e-96	0.100116626047679	1.01446625876762e-61	9.80047418625102e-21	8.44676279708673e-118	2.75706476833771e-35	3.58364072616007e-26	5.42808593267243e-72	4.17871709236327e-08	1.88627102165306e-17	0.0726501079578803	2.13910934578952e-16	0.0972030348072071	0.142492456805923	1.67737334501777e-31	3.80757847625053e-17	0.115237804920639	0.076025532808072	5.83139055715309e-12	4.44182723302266e-37	0.133333333333333
"RDC_4_H38_NA"	0.0003289436666352	8.34566253178742e-50	0	0	0	0	0	0.329459315779228	0	0	1.44271747296898e-220	0	0	0	7.43037685548391e-270	0	0.0318541938346923	0.00371249178136989	0.0363373881063941	0	8.00740485103257e-136	4.0361050248442e-211	0	0.0388687856945363	0	0	0.100984914315544	0.0528575491507345	0.132869144943593	0.272727272727273
"RDC_3_EB6_NA"	0	0	0	0	0.0463977394318576	0	0	0	0	0.289403474257525	0	0	0.0173276125300426	0	0	0	0	0	0	0.0072051436579633	0	0	0	0.0543516346270995	0	0	0	0.0853143954955122	0	0.5
"RDC_6_H67_NA"	0.135544029033512	2.06686163729655e-09	8.59666385906907e-32	5.28509327124626e-47	0.0134298464593658	2.93708001199118e-34	0.109037376983308	3.21969844154542e-07	2.08268188864017e-23	1.31914428560525e-29	0.0577661781179202	0.0797944711372065	6.07448428638787e-36	2.31550287288827e-70	3.55949112269968e-10	0.22982996770934	1.03173089763695e-13	8.66890059708377e-14	0.192394675924726	1.24918005853045e-18	3.49523539395232e-13	2.46800145307249e-10	0.0146311622082204	1.4182560354809e-05	0.0425577852240409	2.15348387517161e-15	2.00747133801479e-12	2.53279135094179e-20	2.28360537912115e-17	0.125
"RDC_4_H28_NA"	6.4283792968317e-08	0.161724375857915	0	1.48081318984086e-13	0.0939692895985413	4.95395901275105e-07	3.91191073315457e-08	0.0352866615561407	4.16370835451744e-05	0.0223310742471862	0.0613793501433439	0.0122457264661177	0.000247606263506467	0.000184152540080693	1.23475088650059e-07	0.00905492124136159	3.0794184636604e-10	0.0287865998091412	2.53506380369344e-05	0.0014618315229856	0.1453774041414	5.942205078136e-05	0.098826026029301	0.000712676876027236	1.08417887812239e-06	0.00166733209795332	0.195374635608621	0.0118150311680274	0.0881770882991287	0.03125
"RDC_5_LP_B10_NA"	0	0	0	0	0	0	0	0	0	0.348302881416635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.418539741262659	0	0.233157377320706	0	0
"RDC_2_LP_B4_NA"	0.553063142180329	9.13863929011234e-15	0	2.18871880213745e-23	8.15763847920739e-18	0	0.00033355475453838	4.66766469639602e-05	0	6.47844153401264e-22	1.17222174498639e-13	2.35919334169331e-30	1.10289239744574e-17	0	0.000350280223124813	1.53189789178382e-08	0.000171562206972693	2.75658075491144e-12	0.000102076710343952	9.11888722552585e-12	0.23393814509203	0.00283651470114379	3.85681351153559e-15	6.97724864450445e-21	7.92093156663079e-18	0	9.88094189159133e-31	0.132234955230492	1.54248179853854e-18	0.0769230769230769
"RDC_5_H44_NA"	0.0548232199893847	0.00358686813696714	1.94290731063179e-183	1.4440480963796e-182	0.000617748645950772	1.75533137146289e-122	0.000383108624038132	0.108582355961565	0.132658408705729	8.93886584725526e-131	1.64899145397516e-25	0	7.32899785195888e-44	0.0331293684883469	4.97547713518729e-18	1.85154971999539e-16	5.73505313213709e-15	0.0592796260437901	0.08490814472971	0.00175330039447215	0.222933385457294	5.51190380387618e-07	3.3491144915384e-08	1.23727466599852e-39	9.58122262301745e-145	5.36400148748537e-44	0.109843880141221	6.79669114143543e-183	7.71877558846723e-116	0.1875
"RDC_4_H26_NA"	1.4397865080233e-07	0.00373516230787444	0.000233202729976051	0.00227503546653839	0	0.0227991449595258	0.000163750975737682	0.255305455256513	0.000141176270569306	5.1541894102225e-06	0.0199700919467584	0.00073462460488127	0.000503999053993846	0.0904014975030885	0.000252572089257009	0.190099105809372	9.65102531177512e-05	0.0931632574887535	0.121167914030387	0.00558065872601598	0.00969578109272075	0.0586558702187904	0.000964652520114353	0.0927347098684542	2.5777522804913e-09	5.71182550093037e-05	1.8977097478971e-10	1.06224174759412e-05	2.78521949098147e-06	0.03125
"RDC_5_H54_NA"	0.0468540108941765	8.0882382883652e-22	0	1.58734031130671e-28	0.00661412806928674	0	3.61428534551845e-11	0.0833587979932613	1.55305915621269e-24	0.000394162492176471	0.0451015857830129	1.75369300004005e-16	0.0639747871080128	1.45207141444405e-25	2.39723769641502e-17	1.08623853858769e-13	7.59897091036574e-10	4.71871530404346e-08	1.19493762325432e-07	0.190816415593469	4.68710984886638e-13	9.53265338521531e-11	0.0750240304321236	1.78583416141564e-16	6.85119184618079e-06	0.204379366733066	1.03528322824766e-10	0.104904267367257	9.4495720128074e-11	0.178571428571429
