RDC_4_H31	RDC_6_EB12	RDC_2_H8	RDC_6_H68	RDC_2_H6	RDC_2_H11	RDC_5_H57	RDC_4_EB7	RDC_2_H3	RDC_5_H48	RDC_6_H71	RDC_6_S8	RDC_4_EB8	RDC_5_H43	RDC_3_H15	RDC_6_LP_B12	RDC_3_S4	RDC_5_H46	RDC_4_H30	RDC_4_H40	RDC_6_EB11	RDC_3_H23	RDC_2_S3	RDC_3_H22	RDC_3_H14	RDC_5_H55	RDC_4_S5	RDC_6_H62	RDC_5_H52	RDC_4_H29	RDC_4_H33	RDC_4_H32	RDC_1_S2	RDC_5_EB9	RDC_6_H65	RDC_2_H5	RDC_4_H41	RDC_5_H58	RDC_4_H38	RDC_3_EB6	RDC_6_H67	RDC_4_H28	RDC_5_LP_B10	RDC_2_LP_B4	RDC_5_H44	RDC_4_H26	RDC_5_H54	RDC_6_H66	RDC_3_H13	RDC_4_H37	RDC_2_H10	RDC_1_H1	RDC_4_H39	RDC_1_EB2	RDC_2_H4	RDC_5_H49	RDC_2_H7	RDC_3_H16	RDC_6_H69	RDC_2_EB3	RDC_4_S6	RDC_6_H63	RDC_5_H56	RDC_5_S7	RDC_6_H64	RDC_1_H2	RDC_5_EB10	RDC_5_H53	RDC_5_H50	RDC_3_H18	RDC_6_H70	RDC_3_H21	RDC_1_S1	RDC_5_H61	RDC_4_H42	RDC_3_H12	RDC_5_H51	RDC_4_H35	RDC_6_H72	RDC_4_H25	RDC_3_H17	RDC_3_H24	RDC_5_H59	RDC_3_H20	RDC_5_H47	RDC_5_H45	RDC_4_H27	RDC_3_EB5	RDC_2_H9	RDC_3_H19	RDC_5_H60	RDC_4_H34	RDC_4_H36	SRX3830154	SRX4318863	SRX024173	SRX024148	ERR584333	SRX024023	SRX3830174	SRX024200	SRX023994	ERR584348	SRX4318860	ERR584320	SRS727524	SRS728264	SRX740589	SRX3830184	SRX740562	SRX025192	SRX3830126	SRX740632	SRX025193	SRX101411	SRX3830225	SRX4318858	ERR584341	SRR5823608	SRR5823606	SRR5823609	SRR5823611
1833	1	0	2	44	28	80	2	0	32	9	0	9	0	11	32	0	11	0	2	0	0	11	1	0	3	6	118	19	20	4	0	0	0	0	51	36	0	31	0	0	19	2	0	0	28	57	4	37	59	0	124	83	92	0	20	24	27	4	44	0	0	17	0	23	4	0	0	4	1	12	31	0	14	11	20	16	42	0	0	14	12	2	9	2	2	6	1	0	31	0	8	0	6	1	0	4	0	0	1	14	90	0	0	6	0	22	12	43	14	10	98	13	24	82	113	19	0	0	97	25	178	68
37919	16	0	26	98	21	103	46	0	107	13	0	0	0	28	42	0	23	0	2	4	0	31	9	0	16	17	569	30	64	19	4	0	0	0	84	72	0	83	0	0	52	14	0	0	66	62	42	261	72	6	575	113	340	0	14	22	57	2	116	0	21	12	15	110	6	0	0	23	16	5	125	15	86	17	332	14	105	1	1	21	27	10	50	24	12	31	23	0	61	37	19	1	1	51	4	94	9	0	32	54	111	20	0	9	0	29	138	72	39	35	143	35	38	92	178	34	1	0	362	98	572	254
1829	6	0	12	43	8	46	20	0	65	4	1	0	0	4	23	0	9	0	3	2	0	14	6	0	7	4	169	15	45	3	2	1	1	0	57	46	0	55	0	0	43	11	0	0	26	38	16	93	20	1	140	64	86	0	5	11	11	0	31	0	2	2	4	28	1	0	0	18	9	0	78	1	21	7	33	9	51	1	0	5	21	1	22	10	7	9	31	0	38	14	4	0	2	10	2	22	4	0	0	31	79	1	0	5	0	4	4	11	24	23	31	20	8	30	58	22	0	0	88	17	130	51
99653	5	0	11	33	8	96	16	0	56	3	1	0	0	14	15	0	11	0	2	4	0	21	17	0	6	5	338	6	43	9	2	3	0	0	34	31	0	30	0	0	21	1	0	0	39	43	11	170	22	2	389	42	239	0	10	16	29	2	51	0	13	10	3	63	0	0	0	12	12	1	50	15	73	11	106	4	37	0	0	10	10	8	21	10	7	14	11	0	33	9	10	2	2	20	0	3	6	0	2	24	99	1	0	2	0	5	26	23	22	14	47	17	10	89	224	12	0	0	236	50	340	119
1830	10	0	39	37	16	72	16	0	65	0	0	0	0	27	25	0	15	0	0	4	0	8	15	0	17	5	406	55	71	6	0	0	0	0	59	76	0	221	0	0	80	19	0	0	47	46	0	201	105	0	450	10	183	0	11	12	5	0	50	0	8	8	35	111	0	0	0	38	0	5	101	33	58	25	93	0	190	0	0	0	30	3	39	23	5	31	24	0	83	8	0	0	0	75	0	0	0	0	0	321	117	0	0	1	0	8	12	7	124	37	60	183	7	27	43	136	0	0	298	58	402	212
132919	1	0	1	38	1	61	3	0	1	0	0	0	0	10	1	0	20	0	0	0	0	1	14	0	2	1	359	1	4	7	0	1	0	0	27	9	0	1	0	0	14	4	0	0	10	13	16	115	5	0	249	6	177	0	0	2	6	0	25	0	13	1	4	88	0	0	0	6	2	4	6	11	28	0	183	0	11	1	0	1	2	13	4	6	0	2	5	0	2	1	10	0	0	10	1	11	0	0	0	5	4	0	0	2	0	5	8	9	2	15	19	3	0	6	13	1	0	0	209	52	351	172
103816	6	0	55	146	46	201	51	0	127	0	6	0	0	75	90	0	23	2	7	6	0	19	16	0	2	25	578	12	185	11	0	6	0	0	253	79	0	153	0	0	57	0	0	0	52	192	28	504	69	25	449	75	413	0	36	7	63	0	128	0	21	0	17	157	7	0	0	24	7	1	98	25	164	30	271	5	133	0	0	33	11	15	58	22	57	38	41	0	144	15	20	0	0	53	16	35	0	0	0	72	427	3	0	8	0	98	470	234	50	215	239	51	111	109	711	94	4	0	547	104	778	294
43767	1	0	0	23	0	19	5	0	12	1	0	0	0	5	1	0	0	0	0	0	0	2	0	0	4	1	16	0	6	1	0	0	0	0	23	13	0	5	0	0	2	1	0	0	12	4	0	14	6	0	24	18	20	0	2	5	1	0	7	0	0	6	1	7	1	0	0	0	2	1	5	0	2	0	18	2	13	0	0	0	1	1	0	6	5	6	2	0	5	0	1	1	0	7	1	0	0	0	1	5	26	0	0	0	0	4	3	8	1	14	0	1	7	6	24	5	1	0	42	7	60	16
699041	82	0	337	3180	566	1371	481	0	1384	198	18	4	0	555	501	0	16	0	85	55	0	345	26	1	53	228	495	283	1628	74	29	42	0	1	5076	1523	8	870	1	0	989	386	0	0	800	3285	133	318	1014	140	774	2199	557	0	289	428	1870	48	901	0	17	453	221	84	141	3	0	382	527	26	1255	28	141	675	231	227	1671	4	13	308	427	21	546	272	261	389	437	0	2530	275	139	37	85	450	120	1308	83	417	161	886	17481	447	116	459	16	577	2022	1926	617	437	8982	549	905	15756	10058	799	99	1	677	127	1058	418
84595	1	0	1	8	1	10	1	0	4	4	0	0	0	0	1	0	4	1	0	0	0	1	5	0	0	0	57	2	9	1	0	0	0	0	2	4	0	5	0	0	2	1	0	0	1	6	3	19	14	0	51	2	51	0	0	5	2	0	25	0	2	5	2	13	1	0	0	2	0	1	3	8	8	1	48	1	6	0	1	0	0	1	1	0	1	6	1	0	8	4	5	0	1	0	0	0	0	0	0	6	17	0	0	0	0	5	5	13	5	11	6	3	6	30	49	6	0	0	49	13	89	28
1495638	320	2	973	3691	1024	3245	1814	4	4236	434	28	8	0	1403	1608	0	362	14	98	171	0	892	213	12	318	556	7354	873	2929	398	98	68	6	0	4104	3447	30	3434	3	0	3267	914	0	3	2619	3698	951	10162	2565	247	8731	5333	5646	0	614	1253	1994	125	3198	1	253	541	655	1503	136	7	0	1065	622	106	4573	281	2145	835	3930	436	4407	26	20	793	1274	256	1358	748	441	1181	1256	0	2931	920	519	89	115	1559	152	2708	89	0	206	2651	8603	720	0	416	0	605	2306	1883	1398	984	6531	1725	1056	4876	13076	1892	77	0	6571	1795	9613	4038
1972846	325	2	1058	3920	1113	3748	1969	0	4293	430	67	16	0	1595	1924	0	270	11	98	207	0	947	196	13	444	660	6857	962	3202	356	139	75	3	1	4360	3845	43	3849	0	0	3658	945	0	0	2974	3987	881	6450	3150	265	11391	6196	6181	0	771	1273	2313	172	3465	0	369	533	734	1297	131	6	0	1161	697	64	5023	396	1675	960	7194	491	4651	25	39	949	1312	287	1782	879	539	1293	1389	0	3202	1070	654	73	134	1670	155	2764	144	5	240	2860	8373	323	0	417	0	489	1847	1558	1508	976	7151	1957	988	5538	13342	1917	111	0	6813	2026	10028	4184
1849967	8	0	20	62	25	79	39	0	68	6	1	0	0	32	29	0	9	0	2	5	0	20	16	0	11	6	264	17	55	7	1	1	0	0	72	55	1	70	0	0	64	15	0	0	50	56	33	153	63	3	363	125	205	0	10	18	52	4	119	0	14	14	7	54	0	0	0	29	14	1	115	8	58	22	90	9	81	0	0	21	19	6	39	18	6	36	22	0	56	16	25	1	1	29	2	20	0	0	3	42	174	3	0	7	0	7	12	20	41	13	210	27	28	186	268	32	2	0	213	55	402	150
2136401	12	0	23	67	6	29	41	0	66	6	0	0	0	15	34	0	3	0	0	3	0	4	8	0	4	15	204	18	44	4	3	1	0	0	40	55	2	79	0	0	63	8	0	0	43	55	9	130	14	11	143	31	64	0	4	17	4	1	11	0	6	1	4	44	2	0	0	29	8	0	79	4	14	26	51	6	99	0	0	6	12	1	36	14	10	11	28	0	37	28	0	2	0	25	0	0	0	0	0	41	43	0	0	0	0	0	1	5	15	11	104	15	1	46	48	20	0	0	68	19	126	39
2305220	8	0	12	74	9	78	44	0	53	4	0	0	0	20	26	0	4	0	1	2	0	4	7	0	6	15	113	21	86	13	0	4	0	0	64	47	0	85	0	0	52	13	0	0	41	37	22	122	38	4	287	67	172	0	13	23	22	2	61	0	3	2	10	28	0	0	0	24	3	0	106	16	26	16	110	5	115	2	0	9	19	5	25	25	5	15	27	0	39	17	11	0	5	28	2	27	1	0	3	68	102	14	0	0	0	9	5	11	19	7	72	48	8	37	176	39	2	0	157	47	224	95
2662065	8	0	18	86	16	40	42	0	107	16	0	0	0	23	34	0	3	0	1	4	0	24	3	0	4	16	81	22	78	4	3	0	0	0	85	88	7	62	0	0	67	21	0	0	82	66	29	95	50	5	160	95	63	0	29	25	35	6	38	0	2	15	16	25	2	0	0	29	13	3	130	2	19	24	42	0	115	0	0	13	25	1	28	29	7	22	28	0	62	38	10	0	1	44	2	3	1	0	13	50	140	0	0	1	0	6	7	15	37	7	145	57	6	73	242	50	0	0	75	33	137	52
1964449	9	0	13	84	25	49	8	0	29	0	0	0	0	11	11	0	3	0	2	0	0	8	5	0	1	5	93	11	31	5	1	3	0	0	29	33	0	19	0	0	32	5	0	0	46	45	3	49	42	0	101	78	30	0	8	26	18	1	43	0	1	15	7	18	4	0	0	6	9	1	49	3	34	7	33	2	59	0	0	5	10	4	20	1	2	11	13	0	43	9	5	0	0	22	2	1	0	0	2	18	126	1	0	2	0	2	5	8	22	2	103	15	3	149	197	21	2	0	70	12	109	42
