sample,FEAST_category,oral,gut,skin,soil,labcontam,unknown,label,oral_soil_ratio
RDC_4_H37,Isola Sacra,0.70245870437729,5.38852089980021e-170,0.0895472591748079,0.0789617783833868,2.94662602779665e-45,0.129032258064516,NA,8.00859332315616
RDC_4_H38,Isola Sacra,0.408706925028163,0,0.0318541938346923,0.286711608409872,0,0.272727272727273,NA,1.41115788247075
RDC_4_H39,Selvicciola,0.233827581493632,0,0.136804166959962,0.190170737587638,0.0521007412771496,0.387096772681619,*,1.21809803187082
RDC_4_H40,Selvicciola,0.813169210363933,0.0129145899601138,0.0119553525459825,0.0994495987818586,1.12483481122617e-05,0.0625,NA,7.52098883436359
RDC_4_H41,Lucus Feroniae,0.552261578767187,3.35668880930065e-75,0.176894762392075,0.0877728541858873,0.0830708046548522,0.1,NA,5.75069208574198
RDC_4_H42,Isola Sacra,0.0678687244038753,3.61114395269529e-31,0.120970101860507,0.536283850976728,0.0334980124140619,0.241379310344828,*,0.142542607226353
RDC_4_S5,Soil,0.396354547405436,4.44107181696864e-152,0.141201846118014,0.27494360647655,8.0568679751884e-19,0.1875,NA,1.42608761231805
RDC_4_S6,Soil,0.156742737645949,1.77988693187884e-29,5.05783449486639e-06,0.584422007181677,0.0588301973378785,0.2,NA,0.280512389567344
RDC_5_EB10,Blank,0,0,0.26574804134827,0.024425079099583,0.0848268795521471,0.625,NA,0.290485897536286
RDC_5_EB9,Blank,0.100369587015159,2.06350572030491e-26,0.428596402436819,0.148122422157859,0.144340159818733,0.178571428571429,NA,0.698000862300055
RDC_5_H43,Lucus Feroniae,0.651174484317474,0.0333333333853632,2.52041206141439e-12,0.0521284538613795,0.196697061766597,0.0666666666666667,NA,10.642055986017
RDC_5_H44,Lucus Feroniae,0.534497293624275,0.132658408705729,0.0348826688828248,0.109843880141221,0.000617748645950772,0.1875,NA,4.54338838981726
RDC_5_H45,Lucus Feroniae,0.86165232648617,0.0333333333333333,0.0564291233511519,0.0396934517904374,0.00889176503890856,0,NA,17.5405872419976
RDC_5_H46,Lucus Feroniae,0.225233203270117,3.51868977413334e-05,0.484700083984369,0.118366097116681,0.0426331706665759,0.129032258064516,*,1.83251815357677
RDC_5_H47,Lucus Feroniae,0.69522235265914,0.0357142857142857,0.0544066970316244,0.0657872651487582,0.0417265423033335,0.107142857142857,NA,9.30528831294945
RDC_5_H48,Lucus Feroniae,0.810550418682444,0,0.0422693461962328,0.000554204977639109,0.146626030143684,0,NA,77.7463030537042
RDC_5_H49,Lucus Feroniae,0.706716731149358,6.14403349624467e-10,0.0460247680154148,0.0400560328758395,0.000305915620845588,0.206896551724138,NA,14.3182887250998
RDC_5_H50,Lucus Feroniae,0.416078558806093,0,0.0790865107061461,0.372298512623743,0.0253935607211607,0.107142857142857,NA,1.11451796106107
RDC_5_H51,Isola Sacra,0.335820990951353,0.0389032469138103,0.0700754635609157,0.337307933342463,0.0243439781346834,0.193548387096774,NA,0.995718662753252
RDC_5_H52,Isola Sacra,0.633043804327627,9.95361031291921e-112,0.0826276169898922,6.64872393326085e-69,0.136180430534332,0.148148148148148,NA,64.3043804327627
RDC_5_H53,Isola Sacra,0.480217818913929,0.0442682495684131,0.118668999475263,0.243976620360164,0.0160941181338457,0.0967741935483871,NA,1.93016907705422
RDC_5_H54,Isola Sacra,0.250338591915537,1.55321789024382e-24,0.254791203461379,0.309283634298347,0.00701514175330957,0.178571428571429,*,0.815383452044615
RDC_5_H55,Isola Sacra,0.720083062242284,7.36302420489687e-64,0.0356020598553764,0.0687697836802106,0.0465128361576135,0.129032258064516,NA,9.2685675665465
RDC_5_H56,Isola Sacra,0.547246661554582,0.0517571049387636,0.0942266136733353,0.144400575966117,0.0010787212865574,0.161290322580645,NA,3.60909703909958
RDC_5_H57,Isola Sacra,0.620471813045399,0.0440894810760563,0.104554972000498,0.0934205515206862,0.0684976651159809,0.0689655172413793,NA,6.09619465159487
RDC_5_H58,Isola Sacra,0.602753220974244,6.36474698462231e-47,0.0726501079578803,0.191263337734542,4.19201847574183e-16,0.133333333333333,NA,3.04453472684846
RDC_5_H59,Isola Sacra,0.724536926485698,1.50227714161466e-82,4.66421158091819e-16,0.0494284709286217,0.00728460258567892,0.21875,NA,12.3600172612204
RDC_5_H60,Selvicciola,0.0732037902029764,5.18382254482384e-15,0.208790389492925,0.0277448279383703,0.00358693482304379,0.686674057542679,*,2.20437593036141
RDC_5_H61,Selvicciola,0.689627176885601,1.29831313547233e-10,0.0329189401527272,0.11014259710782,0.132828527103332,0.0344827586206897,NA,5.82330658507185
RDC_5_LP_B10,Blank,0,0,0,0.651697118583365,0.348302881416635,0,NA,0.0151126545955181
RDC_5_S7,Soil,0.370684923841328,1.04309487224546e-30,0.125411915598388,0.325821889653458,0.0401502364240671,0.137931034482759,NA,1.13359175077648
RDC_6_EB11,Blank,3.32810851383984e-06,0,0.49651875520375,0.118519730913744,4.18921448858167e-06,0.384953996559504,NA,0.0778349599504497
RDC_6_EB12,Blank,0.405624625143474,1.42246303337123e-13,6.05996598249957e-10,0.327064482148834,0.0173108921015524,0.25,NA,1.23307155501466
RDC_6_H62,Lucus Feroniae,0.429804474162138,0.000131788565012444,0.14442722998308,0.0170820703846435,0.138098455927464,0.270455980977662,NA,16.2396917191206
RDC_6_H63,Lucus Feroniae,0.573278737988729,8.13084943765755e-09,0.190852127276135,0.175263065998225,0,0.0606060606060606,NA,3.14838111334246
RDC_6_H64,Lucus Feroniae,0.302004541311951,0,0.229600232499225,0.336204244961603,0.0655243145605535,0.0666666666666667,NA,0.901215238844212
RDC_6_H65,Lucus Feroniae,0.431076737774812,0.0368454656024956,0.167775404157521,0.110158409197682,0.0755725546960599,0.178571428571429,NA,3.67079375234707
RDC_6_H66,Lucus Feroniae,0.552437396666151,1.89932580368897e-113,1.00691031710893e-58,0.303332417421244,0.044230185912605,0.1,NA,1.79501821514373
RDC_6_H67,Lucus Feroniae,0.739217896821324,2.0826818972662e-23,3.56052286608912e-10,2.00964768327167e-12,0.135782102820613,0.125,NA,74.9217896670757
RDC_6_H68,Lucus Feroniae,0.775801967235959,0.0854082371900219,3.86651051883324e-07,0.048814691436339,0.0293686568805671,0.0606060606060606,NA,13.3606408202704
RDC_6_H69,Isola Sacra,0.760091669311634,0,0.124825888432452,0.0523870228734451,0.000195419382468656,0.0625,NA,12.3437797452493
RDC_6_H70,Isola Sacra,0.564196079823157,0.0600553390399262,3.90221933117461e-05,0.0480043979988489,0.0729454966273972,0.254759664317359,NA,9.89918177988077
RDC_6_H71,Isola Sacra,0.743654419877277,0.0187271581123966,0.00709885558772307,0.158281360011714,0.039980141894761,0.032258064516129,NA,4.47853772886561
RDC_6_H72,Isola Sacra,0.809902033056951,0.000117732136075011,0.0289520737921908,0.129757655099284,2.05059154981588e-05,0.03125,NA,5.86659838042139
RDC_6_LP_B12,Blank,0.0895291848019018,0,0.390226238182457,0.470410761565569,0.0498338154500721,0,NA,0.207175177503424
RDC_6_S8,Soil,0.074289812956286,0,0.28373165475771,0.18102018167109,0.0387293380492845,0.42222901256563,NA,0.441261296156765
