"SRX3830154_oral"	"SRX4318863_oral"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_oral"	"SRX024200_oral"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_oral"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_oral"	"SRX740562_human_skin"	"SRX025192_oral"	"SRX3830126_oral"	"SRX740632_human_skin"	"SRX025193_oral"	"SRX101411_oral"	"SRX3830225_oral"	"SRX4318858_oral"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_3_H15_NA"	5.05602572203986e-07	0.0624887718574678	7.05194873897466e-05	6.7600279996377e-07	0.000108811907441974	0	0.0160221632037183	6.57448371500816e-10	0	0.000903694697126008	2.53976301126147e-06	0.0610804356741924	0.0931261512683909	4.7703877717295e-07	2.56655912369147e-05	0.000298435830524743	4.17095919139885e-12	0.164001295087429	0.196445514298544	2.5753750335495e-06	0.0779229576505191	0.00470162765683907	3.09495854915362e-05	0.0912095043162517	8.71038981011707e-16	0.184727103134303	1.94030169453321e-07	6.8847823801596e-14	0.00979239324204424	0.037037037037037
"RDC_5_H46_NA"	5.65021835871842e-07	3.59805143675034e-08	1.18894379390972e-15	0	0.0563707748571204	0	0.133769356786715	6.5982729472911e-08	1.36793156845181e-09	0.192776734739335	0.000326570933709659	3.44125852352377e-05	1.12041309777646e-06	2.20876380935424e-12	0.34632925696804	9.63429177325556e-08	2.65297092266358e-10	2.1960618959881e-07	0.0508264070905257	0.0674228022513681	1.49154212175891e-09	3.85944640701622e-09	6.49384589522087e-05	1.7619388527935e-13	0.00709126295068312	0.000278880247309227	0.0791147258642259	4.11463591415353e-06	0.0271261128354397	0.0384615384615385
"RDC_4_H30_NA"	0.0228764396356381	2.81642120866469e-07	0	0	0.034497231215033	0	8.26480547616722e-22	0.738203271622858	0.0347509096889714	9.52584750052873e-143	1.39751992983857e-29	2.97974996660129e-119	2.11335983607112e-162	1.56703406383431e-181	6.48621559851957e-96	6.03600991696415e-43	1.0949210792265e-121	1.70476611824912e-14	5.45859221462461e-89	3.38936641180486e-39	7.30523221807162e-31	0.000603706020156934	1.87147452552714e-43	2.06773483245089e-79	1.45590141920392e-96	2.35937466324411e-34	0.108793116399865	0.0602743209164016	7.22858937858593e-07	0
"RDC_4_H40_NA"	4.5252682634625e-07	3.12528153561334e-06	9.19076811091659e-07	0	0	0.048279601285312	0.0582491956585855	0.111644986787887	0.0502255716632014	5.40351102495136e-13	0.00047277165289705	1.18583061417361e-11	9.40857664575462e-06	5.71998771159351e-13	0.0613794900899398	0.000551715951481287	0.000318393771946382	0.169672255318667	0.217588188035824	0.00150766633809378	0.0396171332005544	0.00293495727400964	0.146493857267197	0.000171139332569302	0	4.86695984759926e-07	0.000288582543684495	1.3335312954623e-09	0.0535530632868082	0.037037037037037
"RDC_3_H23_NA"	5.37707221713123e-08	5.90870223958654e-05	0.000679529177741349	0	0	0	0.00491780242757584	0.0951537469973765	5.14009635646487e-06	1.04780199486289e-08	3.42211315180768e-06	0	0.000629528387652173	0	0.000130539663771335	0.0670309444237047	0	0.520643385915046	0.0357142857142857	0.141288557237251	0.00634938017270239	0.0296367882037969	0.00112050911503706	0.0252087176548413	0	0	0	0	0	0.0714285714285714
"RDC_3_H22_NA"	2.35852622287511e-05	2.34221654745857e-138	0	0	0.273724970412854	0	5.21306048935106e-31	5.80721318903399e-51	0	4.05265371007881e-27	3.88888435290362e-67	7.1604885311018e-45	4.48132501551606e-36	2.86562565007803e-89	1.70885207473133e-82	2.53430811386364e-29	0.0805370573175717	7.20993812338587e-47	6.22792553000004e-44	1.17354596828737e-13	4.90131158239128e-19	5.97509058454525e-43	0.0652436229371541	7.46294741086089e-60	1.12669157199707e-89	6.52677867581149e-34	2.47886155337133e-15	0.321211504810812	1.69400341038343e-28	0.259259259259259
"RDC_3_H14_NA"	9.17690183033299e-07	7.71819009347306e-11	0	0	0.000192441160274234	0	0.00142495321659525	1.73647934636882e-19	0	0.136346621577851	5.89298777118204e-15	5.22052589085029e-09	0.0152981597620411	0.0541090187653959	0.000872058404680434	2.90744368306975e-08	0.075101639006882	0.0403970094313968	2.66970823991191e-08	4.17973266938796e-11	3.03781569782387e-19	0.000131293835342911	1.56092804539946e-08	5.24705169676715e-13	2.87992764321628e-09	4.40438161606162e-08	0.148596806780271	4.41057940318717e-09	0.296759721544697	0.230769230769231
"RDC_5_H55_NA"	6.78794062904948e-07	0.000764248962541572	0	0	5.96875498669035e-09	0	6.0156941797975e-13	1.06200060859678e-07	0	4.00280171658906e-07	0.0524409367093281	0	3.87360347000145e-15	4.96928151964304e-21	0.0354167112291274	8.86666856974142e-05	7.19318126584179e-16	3.38373170251109e-05	0.336342779932285	0.0692095711781645	3.29613102769781e-06	0.00740608462360936	0.155963273861319	0.0542315646668621	1.45696704107667e-17	1.55508212210984e-10	0.114928613039601	4.23800559923613e-09	9.61968338613388e-09	0.173169210406558
"RDC_6_H62_NA"	6.27262983324787e-07	1.8231038323573e-11	3.29202103900904e-11	0	0.0619225283894171	6.13565447561191e-11	4.58265361174759e-06	0.129566170089483	0.038408762101913	0	4.4664628989136e-10	4.67403400879292e-13	8.91254247001064e-10	2.31541632944792e-10	8.16971766755264e-20	0.115709852652873	1.5921064333775e-05	8.05413037181833e-13	0.374258201255863	9.28968906785123e-13	5.9647423890614e-05	0.00827500506205763	0.0848554758020344	2.55861769529014e-09	2.01495422789319e-08	0.00135797252308388	1.15967887255904e-08	7.62609742108916e-14	0.00588253040951071	0.179682687319767
"RDC_5_H52_NA"	2.98891755604628e-07	0.066444629776381	2.00520246260202e-11	0	0.0614888339198604	0	0.119219288037865	0.038527005143834	0	0.0494993022384087	7.16183023729549e-05	1.58144725967715e-17	0.171512324561139	3.76667764930945e-06	0.00259928106283062	0.00479290975264556	1.15171639739193e-05	7.028553969564e-12	0.143263175947052	0.00268900816579018	1.1756744037126e-05	0.0116423664543197	0.0680861442537431	0.00160129877493561	0.0171169320745086	0.00491514276642135	0.142646031921051	2.84182211405182e-08	0.0521906722574577	0.0416666666666667
"RDC_4_H29_NA"	0.175476619025785	1.97099555422282e-221	1.6311528870552e-243	0	0.055056730812284	0	0.131733784955058	7.33675288908444e-27	0	1.20465240599187e-66	0.0877508179474204	0.0629698843966085	4.86242788663645e-57	0	0.0163195656191604	2.57905455749049e-96	0.0489594433215563	1.56649813627058e-34	2.27879428946152e-121	6.74397733375836e-95	6.41275759788733e-54	0.194897317340735	9.16897795464863e-38	9.56219582416446e-170	4.46093405352699e-196	0.0778521049440415	0.0378726205262394	1.25855678412929e-28	1.87031784225863e-21	0.111111111111111
"RDC_4_H33_NA"	0.000952693644226439	0	0	0	0	0	0.0872821342821995	5.8503635584692e-169	0	1.33500355987122e-173	4.74419341061896e-241	0	0.104088833197857	0	0	1.03718016339018e-37	0.0437337272183199	0.358386824575554	0	1.47116075023186e-203	7.0824257728935e-10	0	4.24887796321874e-117	0	0	0.0563899473725875	9.23044143986763e-147	0	0.126943616778791	0.222222222222222
"RDC_4_H32_NA"	4.84947236463979e-06	1.08522409206298e-16	1.69265359857032e-11	0	2.9844229720361e-08	0	0.0834314168083731	1.21928518938513e-08	0.0384287384093732	0.0921930400444262	9.78678196272168e-05	5.8190112257151e-65	1.24782625181098e-18	6.58033881422542e-81	4.3959327956639e-14	4.5630338398225e-11	3.19037091114927e-34	8.00667321453778e-18	0.224572492050944	6.0353387155881e-19	1.2363256978918e-16	0.270870722177516	9.2779334611662e-24	0.088284240655891	0.0539684406807004	7.48713976674194e-21	1.20192470537833e-09	1.12181617132464e-18	4.31028868164557e-10	0.148148148148148
"RDC_6_H65_NA"	0.217896668765859	4.68227238497279e-84	8.95729136083344e-62	0	1.60749885554655e-16	3.40269944728602e-35	9.71513455457959e-06	1.48495136349498e-10	0	0.132484813035148	3.69822917750261e-46	1.08011979604406e-43	3.73493059414648e-16	0.0416988451181972	7.65400473765126e-05	1.04270032576228e-17	8.85203756066215e-122	1.08010960156855e-11	0.0555907790859048	1.49164546206785e-21	9.38447265580546e-14	4.5717303782059e-22	0.271809363535024	2.31090492624345e-37	5.15322256620746e-34	0.0453699380341342	0.000334832610656815	0.119343889089104	3.43646272996975e-14	0.115384615384615
