"SRX3830154_human_calculus"	"SRX4318863_human_caries"	"SRX024173_human_gut"	"SRX024148_human_gut"	"ERR584333_labcontam"	"SRX024023_human_gut"	"SRX3830174_human_calculus"	"SRX024200_human_plaque"	"SRX023994_human_gut"	"ERR584348_labcontam"	"SRX4318860_human_caries"	"ERR584320_labcontam"	"SRS727524_human_skin"	"SRS728264_human_skin"	"SRX740589_human_skin"	"SRX3830184_human_calculus"	"SRX740562_human_skin"	"SRX025192_human_plaque"	"SRX3830126_human_calculus"	"SRX740632_human_skin"	"SRX025193_human_plaque"	"SRX101411_human_plaque"	"SRX3830225_human_calculus"	"SRX4318858_human_caries"	"ERR584341_labcontam"	"SRR5823608_soil"	"SRR5823606_soil"	"SRR5823609_soil"	"SRR5823611_soil"	"Unknown"
"RDC_4_H30_NA"	7.23283343276238e-07	0.0744283816847674	0	0	0.0200109794223253	0	0.000246709320765217	0.0736836263818216	0	4.82583487260125e-05	1.61309725401505e-09	0.0513078836251351	4.49827503556912e-15	3.80194243917881e-18	0.000227303415851834	0.28562227305506	4.24893338515486e-11	0.113952813577878	9.16433487293353e-05	4.77259913565696e-05	0.0486132610678744	0.20118828374159	0.128748442688786	0.00122092258894815	2.13323362498011e-18	3.05751981727088e-05	0.000530190116245575	4.31210308217093e-19	1.48703210314075e-09	0
"RDC_4_H40_NA"	0.0923377337527149	1.67392584838938e-35	2.3192258980844e-06	0	0.0384615384615385	1.28642193775424e-70	0.115867147076437	1.13549975515928e-07	0.0449035802688048	2.65290925468962e-126	1.42984877334312e-27	0.0462872779621282	0	1.93409886037546e-64	6.88373336272179e-09	0.000840777709135634	4.58336449511925e-19	0.600514848721496	0.0115588604861308	9.64319124646026e-20	1.06402922235514e-13	2.15082154704739e-05	1.04363446969533e-23	1.68208811488332e-30	0	0.0492042859362567	5.62794519861543e-55	2.76245789796505e-30	1.75017355845126e-09	0
"RDC_3_H23_NA"	1.49000024676971e-06	1.8888390734625e-18	1.07343044816164e-38	0	1.71230519337917e-14	0	7.23219623373189e-39	0.436463805348695	0	2.75537553018842e-06	2.97021552122166e-26	9.60712625624624e-13	1.51194363829563e-12	4.76863028624242e-49	3.5463266318889e-06	2.58158303491569e-12	5.15538271506206e-39	0.400120040528342	0	0.0376965072844823	0.0519797871312415	2.53605520364093e-10	1.91329018548711e-09	3.6258244687216e-08	1.04488572359604e-23	0	0.0377085777080793	0.000309166152253251	0	0.0357142857142857
"RDC_3_H22_NA"	0.000191897203331495	2.77707162890955e-283	0.0515961533443231	0	0	0	7.36066192220347e-81	4.46131400136204e-35	3.80674814673904e-113	0	6.96072160496713e-226	0	0	1.27163726919415e-305	0	1.77702216533581e-168	0	0.00844829969803763	0.0503572990141245	1.24750859685025e-126	1.96703833398977e-36	2.7779700672206e-47	6.16559592984242e-264	0.0634772933220996	0	0.0569751927774929	0.224853902390824	0.0785947579687888	0.288350517919712	0.177154686361265
"RDC_5_H55_NA"	0.067348465794602	3.43750255454642e-15	0	0	6.06818115225373e-22	2.10999283478407e-102	2.99708540092088e-14	1.60597163041829e-26	5.5410415062592e-143	0	2.9828350584729e-81	7.07442576417895e-61	8.6817735419719e-67	0	4.06496998078324e-67	2.17923466852975e-19	1.25545181523372e-71	0.168817175777993	0.331203062109642	2.4804682875755e-16	9.61879702021505e-19	6.95952260400911e-26	1.59444972450976e-05	2.18067727857966e-07	7.95395695068181e-91	1.53299252634048e-61	7.80973067119277e-42	4.19387733656011e-68	3.61779007131518e-34	0.432615133752757
"RDC_6_H62_NA"	1.25696966467703e-06	3.5533539368179e-11	2.60325592591498e-16	0	0.0551894964304236	1.01962979792469e-23	0.166935651113478	0.0288173458629578	0	0.0380812110875878	4.20718436706021e-15	4.92204644113885e-23	1.54791842300103e-16	2.66347625986997e-35	1.71914409640793e-07	0.131582014063136	4.44030425548582e-05	0.00554578819342128	0.35080327294068	0.000385664555532845	0.00110103903760765	0.179996413955085	9.52851980124259e-08	0.00447831509379958	8.2041219069433e-07	1.55415654902516e-13	1.27335788306668e-11	2.93918446435346e-09	1.76232489859104e-11	0.037037037037037
"RDC_5_H52_NA"	0.0969656194510935	3.43251539104716e-54	3.69384509731513e-19	9.36670338376671e-13	7.85015305501922e-19	6.7000487263616e-71	0.0778187131996607	0.151811088088575	2.79424433084907e-72	0.101281872087023	1.83554503071721e-58	0.190050109487397	0.0493850186259261	1.65003110780842e-42	0.0149848699313497	3.0761459019532e-24	2.36086348721953e-16	5.18698142162135e-26	0.0910924065752097	1.61381068780816e-29	2.36306527884155e-11	3.23416693193713e-17	1.86745000456288e-33	3.84482537353886e-53	6.92702686099689e-16	1.1596082289641e-06	0.0278394478948969	0.16232934154544	0.000726067766345088	0.0357142857142857
"RDC_4_H29_NA"	1.36295196658218e-06	1.41355510775772e-14	0	0	0.00130249141464576	0	0.0202630582577403	0.00458961999825787	0	8.04678914488043e-08	3.77957065950494e-06	0.00408692848324991	3.6286225183032e-08	2.0151259741604e-11	0.0588402403554384	1.11684800706438e-11	1.19253679052036e-17	6.77933720332204e-06	0.0608673016582844	3.8985533428758e-05	1.79725881321329e-06	0.114487774983418	0.122209844843621	6.53646228947328e-17	1.73121775779865e-13	0.0585098973554859	0.41098278619751	1.72978687028151e-05	3.23173030631396e-12	0.143789937142718
"RDC_4_H33_NA"	0.238129170139319	6.15909577506605e-50	1.04721213985843e-125	0	0.117190858146854	0	0.106288479361369	0.0905927811225221	0	4.0901150539341e-78	0.083906926648867	1.96937067655669e-14	5.88865204870052e-101	4.41407881000702e-120	7.27868665198153e-50	3.25319277286722e-41	2.09644668931305e-18	1.09620455541806e-18	0.0384906626939939	1.0339807125099e-49	0.0375196180819098	1.68306623021272e-07	1.1918003201488e-46	4.39616204553791e-64	4.75793228686093e-73	0.139732834365673	3.52933533800293e-07	5.11673936259335e-11	4.34614307686119e-34	0.148148148148148
"RDC_4_H32_NA"	0.136420269244811	4.12797339577859e-06	0	0	0.0596286417031063	7.07030008984787e-15	5.1958955804471e-29	0.139388893843003	0.0530093611392986	6.01225236096195e-16	3.7702614751216e-26	1.66906533903473e-59	3.02032299467267e-39	5.39364257340332e-48	1.27234136826053e-26	0.0293379612349241	3.87010009687938e-28	0.000556784610780845	0.20788395044095	9.45062115469631e-12	0.00443189196035605	0.0457616620002479	0.175424813847041	3.49384447878225e-06	2.39831324380672e-83	1.85655106088293e-29	7.21484271837633e-47	1.88793156949363e-27	1.19709394603275e-16	0.148148148148148
"RDC_2_H5_NA"	0.254034557013537	2.16921761828077e-23	0	0	2.4671828088004e-29	0	1.67748831932984e-06	1.37691621405494e-05	0	0.0397053164331286	1.34159487963716e-23	1.93247923190246e-42	1.67179473190054e-35	8.60860363009239e-63	4.04412607539302e-42	2.6065860320775e-10	6.3986947893419e-40	0.00017869201265447	2.35283371551492e-51	4.61166254531418e-08	0.530410937294573	0.101580929319049	8.25239318736787e-10	3.57984194634331e-25	2.0836568984599e-68	6.27128413016032e-26	9.24661848404016e-40	8.99427870906402e-24	8.57185980827821e-30	0.0740740740740741
"RDC_4_H41_NA"	0.277305863636162	9.51094727630486e-44	2.40090884607656e-09	0	6.38424789040659e-99	0	3.35090035934174e-28	1.43691310053088e-12	0	6.64714776126126e-30	0.0511851170741742	1.80094039248068e-156	1.17824061309435e-162	2.60184293817079e-178	2.2632276170903e-54	1.96932093916693e-09	3.28421037121211e-45	0.0354077734001474	6.01688579724737e-37	1.04804539343007e-48	1.26706614132259e-23	0.0191083024317429	0.194132810969891	4.52611497120877e-75	3.17704487276518e-104	0.232953977238537	0.082763293042319	2.1567967845826e-29	6.92503444634961e-10	0.107142857142857
"RDC_5_H58_NA"	8.52020714924926e-07	1.74782691092189e-09	0	0	1.23378094792336e-08	0	0.290000592670201	0.127205507876649	0	1.37796856530173e-23	6.97680175600719e-08	0.00102342640499581	0.000109638481190125	0	2.64762537680717e-15	0.00397514610543083	5.9796518110097e-10	0.00706471050966618	9.11687238261611e-06	2.46585094867405e-09	0.112029626280515	0.029946727296459	0.104676102738527	7.58884996340776e-16	4.64144292700825e-16	0.169741512098908	0.000168336828100367	9.88903563570844e-05	0.000103572696274567	0.153846153846154
"RDC_4_H38_NA"	0.102060726990212	5.90078534472048e-32	4.26483720812507e-18	0	0.03802948347631	7.61027062219762e-24	2.43403302647901e-06	0.150285184354007	7.31632300286854e-26	3.29358665915807e-46	5.4209298337993e-21	8.66277108216353e-06	5.21958582028286e-08	7.45574968441039e-35	2.26827443557743e-20	6.3147189728816e-20	7.11043350516094e-19	1.36637220569129e-08	0.0390818210677704	1.25806948837811e-33	0.00208442863964656	0.406659982197674	4.76489880149581e-18	1.42313438509691e-28	6.96807595860088e-59	3.22710629267239e-15	1.28351348129283e-05	0.154631495124496	2.32085220750216e-08	0.107142857142857
