"GO Term ID","Function","RDC_1_H1","RDC_2_H11","RDC_2_H3","RDC_2_H4","RDC_2_H5","RDC_2_H6","RDC_2_H7","RDC_2_H8","RDC_2_H9","RDC_3_H12","RDC_3_H13","RDC_3_H14","RDC_3_H15","RDC_3_H16","RDC_3_H17","RDC_3_H18","RDC_3_H19","RDC_3_H20","RDC_3_H23","RDC_4_H25","RDC_4_H26","RDC_4_H27","RDC_4_H28","RDC_4_H29","RDC_4_H31","RDC_4_H33","RDC_4_H36","RDC_4_H37","RDC_4_H40","RDC_5_H43","RDC_5_H44","RDC_5_H45","RDC_5_H47","RDC_5_H48","RDC_5_H49","RDC_5_H50","RDC_5_H51","RDC_5_H52","RDC_5_H53","RDC_5_H54","RDC_5_H55","RDC_5_H56","RDC_5_H57","RDC_5_H58","RDC_5_H59","RDC_5_H60","RDC_5_H61","RDC_6_H62","RDC_6_H63","RDC_6_H64","RDC_6_H65","RDC_6_H66","RDC_6_H68","RDC_6_H69","RDC_6_H70","RDC_6_H71"
"GO:0006529","asparagine biosynthetic process",14.5849,11.7555,30.1384,6.26485,14.5058,19.521,15.8097,6.20446,19.7309,11.1117,18.0445,0,16.6383,0,14.5847,1.37445,11.6837,0.516146,12.9887,9.1744,10.742,8.04661,15.5429,0,0.471457,0,6.44462,0,3.68692,26.981,23.3814,5.10873,7.04542,3.53295,16.2947,4.54776,16.0993,14.7352,7.9908,1.88953,5.95689,22.3103,8.3845,27.1972,8.77489,25.2423,13.3879,10.1326,8.74194,2.18788,20.8116,9.14333,11.7184,36.043,39.221,0
"GO:0006531","aspartate metabolic process",20.195,20.5969,25.1364,10.8145,15.3651,15.6623,16.7963,8.16598,21.6525,11.1662,7.96833,1.01994,12.0923,0.734522,6.13397,0,12.1921,9.50149,15.9797,8.38724,12.3701,13.5641,14.9738,0.619107,4.25558,0.604483,0,2.78533,4.99117,7.36271,13.4364,8.71373,4.79407,5.60909,8.20431,12.0052,18.6094,16.1456,9.99772,2.23016,1.37226,1.76079,17.9114,15.8735,8.18959,0,15.6148,8.59423,11.5904,2.87184,24.6005,2.19245,27.5914,31.9891,15.9742,0
"GO:0006534","cysteine metabolic process",38.7185,17.5749,23.9566,21.6054,16.6535,11.7995,17.263,14.7545,13.3349,13.0395,16.1065,1.57235,23.522,1.4927,14.7096,1.04222,17.3881,2.94649,15.9178,20.7364,22.4269,14.7491,19.0244,1.44487,2.49787,1.26787,1.73697,1.23099,20.3791,12.2846,27.0327,7.83403,11.4814,7.94711,12.1118,5.13095,15.7648,16.3432,8.62645,3.03701,8.41305,12.6152,15.2382,13.8874,7.41564,9.84896,12.0487,11.6,6.40553,5.20042,22.3878,14.4895,24.0681,20.2731,15.347,2.99443
"GO:0006535","cysteine biosynthetic process from serine",99.0358,70.4724,84.1809,48.6655,63.2648,67.4273,56.3758,49.1692,82.1398,74.879,54.5392,3.22485,53.6048,2.22121,41.6145,6.9948,67.9125,19,69.4431,61.814,55.1685,62.6221,72.0303,5.54904,8.06816,3.09439,15.8662,5.28766,41.1743,49.9977,69.9927,28.9312,38.0833,27.3691,41.4752,69.9358,74.4934,58.2048,30.547,11.2012,20.5476,35.5743,56.5093,56.6911,30.8237,94.2373,49.6962,41.6742,43.5724,48.1691,107.172,28.0298,96.0052,126.802,117.283,3.47503
"GO:0006536","glutamate metabolic process",4.72663,1.99419,11.8667,3.81281,3.51736,2.20504,0.383575,1.14789,4.40981,1.74744,1.37955,0,3.90865,0,5.85677,0,1.89592,0,1.2001,2.59194,4.98509,2.11727,2.11953,0,0.62234,0,0,0,0,6.18495,6.64946,1.39565,0,1.32581,9.7035,0.863346,7.7218,6.53625,2.37307,0,1.1904,3.60652,4.69986,6.52089,2.29239,58.7492,0.974556,0.919555,2.01022,0,7.11652,3.11604,6.45208,1.0847,16.0691,0
"GO:0006537","glutamate biosynthetic process",0,5.23384,0,0,0.52699,4.2865,0,8.17912,1.09052,0,2.27622,0,1.98216,0,0,0,9.85966,0,2.45001,0,0.86354,5.29827,1.93359,0,0,0,0,0,0,0.709146,0.408191,1.70224,0,0,1.18702,0,0.768544,0,0,0,2.13011,0.696767,0,0,1.18333,0,0.895155,4.17153,4.08883,0,0.599824,8.57503,0.618535,2.20745,18.7557,0
"GO:0006541","glutamine metabolic process",434.204,308.217,399.208,263.048,283.948,285.574,269.261,202.357,358.811,297.446,236.51,12.8561,291.757,11.5515,174.619,26.7435,284.675,83.3546,298.673,262.595,259.168,275.634,329.814,16.2797,32.9579,12.2567,36.185,25.2792,162.632,240.8,343.898,127.487,163.363,119.082,195.131,282.624,343.266,281.131,153.434,54.932,102.977,202.463,263.573,301.795,161.139,146.113,237.262,180.328,182.855,104.39,477.309,114.949,423.719,499.466,455.371,20.6044
"GO:0006542","glutamine biosynthetic process",78.6238,59.7995,57.4126,37.8181,44.0531,39.0433,47.1657,35.2993,61.2763,35.4389,39.324,2.82716,43.3859,2.86238,22.335,2.75943,49.4347,20.5746,42.1391,41.2195,38.4146,45.1154,43.833,3.25181,8.55581,2.56016,3.71918,6.91631,25.5062,19.6159,46.8488,23.6706,24.527,21.6324,23.1279,37.4796,53.9541,45.4122,25.5424,7.00868,11.9935,17.5908,43.2152,39.348,27.4113,3.695,46.133,27.0057,31.2124,22.5102,67.9467,44.2376,69.0563,67.4912,62.6636,1.90522
"GO:0006543","glutamine catabolic process",7.94489,2.54838,0,0,0.970191,1.87327,4.06948,7.0244,0.866281,0,2.94539,0,4.22082,0,0,0,12.0609,0,4.37705,1.1056,0.973924,5.61735,0.37767,0,0,0,0,0,0,0.310844,0.853539,0,0,0,0.7176,0,0.892621,0.394904,0.702639,0,2.79412,0.689138,0,0.366572,1.60991,6.56839,2.01688,4.97572,0,0,1.04322,4.04562,1.30316,2.39047,15.9798,0
"GO:0006544","glycine metabolic process",0,4.04869,0,0,1.01569,1.34675,2.89644,0,0.380626,0,0,0,0,0,0,1.01728,0,0,6.20758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522223,0,0,0,0,0,0,0,0,0,20.1756,0,0
"GO:0006545","glycine biosynthetic process",47.1327,29.0757,38.2187,23.6201,26.3528,25.6734,27.2544,9.11612,31.9369,24.4881,22.9361,0,23.6674,1.57986,15.2145,0,17.2476,4.82915,21.9909,25.5918,26.8102,19.0547,36.3437,1.52325,1.42413,1.16044,4.95024,0.742446,12.6729,12.8583,28.1416,12.0432,10.4639,12.9042,21.0182,26.831,33.7423,21.5335,13.1336,10.231,6.01779,10.6149,23.6062,21.449,8.72325,35.8799,17.9185,10.7373,17.0758,10.0389,43.5308,5.99318,48.5762,54.0699,20.1401,1.4251
"GO:0006546","glycine catabolic process",30.2247,15.127,57.6914,17.8597,19.3674,21.9858,18.9555,7.02513,28.6214,21.3106,16.3989,0.692659,28.029,0,33.4736,1.28946,19.7832,7.75197,12.9785,10.2789,19.5072,15.7774,18.5755,1.10961,1.68847,0.435942,2.14782,1.3264,11.8206,43.43,34.2355,8.32498,8.74681,6.09538,28.1373,12.2193,40.0069,32.333,16.5297,3.92049,6.49859,24.663,24.0407,46.4857,20.5513,47.5191,21.1935,16.1414,11.6716,3.75731,40.752,28.6507,27.1614,26.0972,52.4123,0
"GO:0006548","histidine catabolic process",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO:0006553","lysine metabolic process",0,0,0,0,0,0,0,5.37004,0,0,1.5445,0,0.964479,0,0,0,6.52312,0,0,0,0.471572,2.95794,0,0,0,0,0,0,0,0,0.473866,0,0,0,0,0,0,0,0,0,1.84475,0,0,0,0.916003,0,0,2.65503,0,0,0.441318,0,0,0,13.0008,0
"GO:0006555","methionine metabolic process",19.0149,14.4083,16.4306,6.72587,6.94008,5.32514,11.167,3.60212,12.5059,11.6973,5.92373,0.813091,8.7482,0.475124,3.97674,1.14864,6.34389,5.86982,6.89545,6.91259,8.18196,5.47203,6.06458,0,1.58905,0,0,0,3.00352,4.65346,11.4609,5.46457,2.84101,2.8128,5.0114,7.94349,13.9931,11.6895,4.56168,2.56524,1.23772,4.56583,11.2227,10.2148,5.55477,0.90004,18.259,3.04946,7.40974,2.76762,24.0775,7.9754,22.484,13.6585,15.5792,0
